"","NUM_HOMOLOGS","NTS_MEAN","NTS_PRESENCE","NTS_PRES_%","NTS_ANDPRESENCE","NTS_ANDPRES_%","NTSlike_MEAN","NTSlike_PRESENCE","NTSlike_PRES_%","NTSlike_ANDPRESENCE","NTSlike_ANDPRES_%"
"CAX48993.1_1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX48994.1_2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX48995.1_3",43,0.0232558139534884,1,2.32558139534884,0,0,0.13953488372093,4,9.30232558139535,0,0
"CAX48996.1_4",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX48997.1_5",9,0,0,0,0,0,0,0,0,0,0
"CAX48998.1_6",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX48999.1_7",42,0.0238095238095238,1,2.38095238095238,0,0,0.0952380952380952,3,7.14285714285714,0,0
"CAX49000.1_8",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49001.1_9",7,0,0,0,0,0,0,0,0,0,0
"CAX49002.1_10",1466,0.00613915416098226,7,0.477489768076398,0,0,0.0613915416098226,72,4.91132332878581,2,0.136425648021828
"CAX49003.1_11",1218,0.00164203612479475,2,0.164203612479475,0,0,0.0763546798029557,79,6.48604269293924,3,0.246305418719212
"CAX49004.1_12",13,0,0,0,0,0,0,0,0,0,0
"CAX49005.1_13",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49006.1_14",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49007.1_15",487,0,0,0,0,0,0.0410677618069815,19,3.90143737166324,0,0
"CAX49008.1_16",32,0,0,0,0,0,0.09375,2,6.25,0,0
"CAX49009.1_17",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49015.1_23",686,0,0,0,0,0,0.0481049562682216,29,4.22740524781341,0,0
"CAX49016.1_24",109,0,0,0,0,0,0.018348623853211,2,1.8348623853211,0,0
"CAX49017.1_25",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49018.1_26",106,0.0283018867924528,3,2.83018867924528,0,0,0.0283018867924528,3,2.83018867924528,0,0
"CAX49019.1_27",381,0.0078740157480315,2,0.5249343832021,0,0,0.094488188976378,24,6.2992125984252,1,0.26246719160105
"CAX49020.1_28",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49021.1_29",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49022.1_30",6,0,0,0,0,0,0,0,0,0,0
"CAX49023.1_31",143,0,0,0,0,0,0.020979020979021,3,2.0979020979021,0,0
"CAX49024.1_32",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49025.1_33",2111,0.00189483657034581,3,0.142112742775936,0,0,0.0502131691141639,92,4.35812411179536,2,0.0947418285172904
"CAX49026.1_34",23,0,0,0,0,0,0.0869565217391304,2,8.69565217391304,0,0
"CAX49028.1_36",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49029.1_37",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49030.1_38",15,0,0,0,0,0,0.466666666666667,6,40,0,0
"CAX49031.1_39",15,0,0,0,0,0,0.0666666666666667,1,6.66666666666667,0,0
"CAX49032.1_40",92,0.0108695652173913,1,1.08695652173913,0,0,0.0217391304347826,2,2.17391304347826,0,0
"CAX49033.1_41",416,0.632211538461538,129,31.0096153846154,58,13.9423076923077,2.27403846153846,294,70.6730769230769,163,39.1826923076923
"CAX49034.1_42",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49035.1_43",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49036.1_44",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49037.1_45",1702,0.00235017626321974,4,0.235017626321974,0,0,0.0669800235017626,96,5.64042303172738,3,0.176263219741481
"CAX49038.1_46",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49039.1_47",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49040.1_48",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49041.1_49",264,0.00378787878787879,1,0.378787878787879,0,0,0.071969696969697,14,5.3030303030303,2,0.757575757575758
"CAX49042.1_50",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49043.1_51",52,0,0,0,0,0,0.0576923076923077,2,3.84615384615385,0,0
"CAX49044.1_52",52,0,0,0,0,0,0.0192307692307692,1,1.92307692307692,0,0
"CAX49045.1_53",531,0,0,0,0,0,0.0621468926553672,21,3.95480225988701,3,0.564971751412429
"CAX49046.1_54",7334,0.00286337605672212,18,0.245432233433324,1,0.0136351240796291,0.0650395418598309,377,5.14044177802018,14,0.190891737114808
"CAX49047.1_55",3479,0.00517390054613395,12,0.344926703075596,0,0,0.0813452141419948,206,5.92124173613107,12,0.344926703075596
"CAX49048.1_56",449,0.0089086859688196,2,0.44543429844098,0,0,0.0824053452115813,21,4.67706013363029,1,0.22271714922049
"CAX49051.1_59",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49052.1_60",240,0,0,0,0,0,0.0166666666666667,4,1.66666666666667,0,0
"CAX49053.1_61",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49054.1_62",1,0,0,0,0,0,0,0,0,0,0
"CAX49055.1_63",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49056.1_64",7,0,0,0,0,0,0,0,0,0,0
"CAX49057.1_65",33,0,0,0,0,0,0,0,0,0,0
"CAX49058.1_66",109,0.00917431192660551,1,0.917431192660551,0,0,0.055045871559633,6,5.5045871559633,0,0
"CAX49059.1_67",2219,0.00495718792248761,8,0.360522757999099,1,0.0450653447498873,0.0874267688147814,144,6.48940964398378,7,0.315457413249211
"CAX49064.1_72",3479,0.00517390054613395,12,0.344926703075596,0,0,0.0813452141419948,206,5.92124173613107,12,0.344926703075596
"CAX49065.1_73",7334,0.00286337605672212,18,0.245432233433324,1,0.0136351240796291,0.0650395418598309,377,5.14044177802018,14,0.190891737114808
"CAX49066.1_74",554,0,0,0,0,0,0.0649819494584837,24,4.33212996389892,3,0.541516245487365
"CAX49067.1_75",7,0,0,0,0,0,0,0,0,0,0
"CAX49068.1_76",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49069.1_77",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49070.1_78",154,0,0,0,0,0,0.025974025974026,4,2.5974025974026,0,0
"CAX49071.1_79",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49072.1_80",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49073.1_81",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49074.1_82",6,0,0,0,0,0,0,0,0,0,0
"CAX49077.1_85",1,0,0,0,0,0,0,0,0,0,0
"CAX49078.1_86",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49080.1_88",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49083.1_91",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49086.1_94",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49087.1_95",4,0,0,0,0,0,0,0,0,0,0
"CAX49089.1_97",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49090.1_98",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49091.1_99",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49092.1_100",462,0,0,0,0,0,0.0562770562770563,24,5.19480519480519,0,0
"CAX49093.1_101",1,0,0,0,0,0,0,0,0,0,0
"CAX49094.1_102",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49095.1_103",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49096.1_104",904,0.00110619469026549,1,0.110619469026549,0,0,0.0630530973451327,47,5.19911504424779,1,0.110619469026549
"CAX49097.1_105",26,0,0,0,0,0,0,0,0,0,0
"CAX49098.1_106",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49099.1_107",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49100.1_108",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49101.1_109",5,0,0,0,0,0,0,0,0,0,0
"CAX49102.1_110",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49103.1_111",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49104.1_112",164,0.00609756097560976,1,0.609756097560976,0,0,0.0731707317073171,9,5.48780487804878,0,0
"CAX49105.1_113",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49106.1_114",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49107.1_115",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49108.1_116",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49109.1_117",1684,0.0112826603325416,13,0.771971496437055,2,0.118764845605701,0.082541567695962,99,5.87885985748219,4,0.237529691211401
"CAX49110.1_118",5410,0.000924214417744917,5,0.0924214417744917,0,0,0.0410351201478743,189,3.49353049907579,5,0.0924214417744917
"CAX49111.1_119",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49112.1_120",1699,0.00235432607416127,3,0.176574455562095,1,0.0588581518540318,0.0618010594467334,78,4.59093584461448,14,0.824014125956445
"CAX49113.1_121",4387,0.000683838614087075,3,0.0683838614087075,0,0,0.0649646683382722,233,5.31114656940962,14,0.319124686573969
"CAX49114.1_122",2016,0.00347222222222222,6,0.297619047619048,0,0,0.0744047619047619,112,5.55555555555556,10,0.496031746031746
"CAX49115.1_123",170,0,0,0,0,0,0.0470588235294118,5,2.94117647058824,0,0
"CAX49116.1_124",2591,0.000385951370127364,1,0.0385951370127364,0,0,0.0358934774218449,85,3.28058664608259,2,0.0771902740254728
"CAX49117.1_125",1647,0.00121432908318154,2,0.121432908318154,0,0,0.0491803278688525,70,4.2501517911354,1,0.0607164541590771
"CAX49118.1_126",2874,0.00104384133611691,2,0.069589422407794,0,0,0.0535838552540014,118,4.10577592205985,7,0.243562978427279
"CAX49119.1_127",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49120.1_128",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49121.1_129",5183,0.00038587690526722,2,0.038587690526722,0,0,0.0393594443372564,171,3.29924754003473,9,0.173644607370249
"CAX49122.1_130",2144,0.00326492537313433,7,0.326492537313433,0,0,0.0629664179104478,107,4.99067164179104,8,0.373134328358209
"CAX49123.1_131",2964,0,0,0,0,0,0.0448717948717949,108,3.64372469635628,15,0.506072874493927
"CAX49124.1_132",5410,0.000924214417744917,5,0.0924214417744917,0,0,0.0410351201478743,189,3.49353049907579,5,0.0924214417744917
"CAX49134.1_142",2491,0,0,0,0,0,0.06985146527499,156,6.26254516258531,2,0.0802890405459655
"CAX49135.1_143",447,0,0,0,0,0,0.0469798657718121,19,4.25055928411633,0,0
"CAX49136.1_144",2101,0.000951927653498334,1,0.0475963826749167,1,0.0475963826749167,0.0704426463588767,123,5.85435506901475,7,0.333174678724417
"CAX49137.1_145",4841,0,0,0,0,0,0.0475108448667631,210,4.33794670522619,1,0.0206568890725057
"CAX49138.1_146",95,0,0,0,0,0,0.115789473684211,10,10.5263157894737,0,0
"CAX49139.1_147",2842,0.000351864883884588,1,0.0351864883884588,0,0,0.0731878958479944,186,6.54468684025334,4,0.140745953553835
"CAX49140.1_148",430,0,0,0,0,0,0.0604651162790698,23,5.34883720930233,0,0
"CAX49141.1_149",1124,0,0,0,0,0,0.054270462633452,55,4.8932384341637,1,0.0889679715302491
"CAX49142.1_150",618,0,0,0,0,0,0.0517799352750809,28,4.53074433656958,1,0.161812297734628
"CAX49143.1_151",1227,0.000814995925020375,1,0.0814995925020375,0,0,0.0709046454767726,78,6.35696821515892,2,0.162999185004075
"CAX49144.1_152",620,0,0,0,0,0,0.0612903225806452,35,5.64516129032258,0,0
"CAX49145.1_153",607,0,0,0,0,0,0.0411861614497529,22,3.62438220757825,0,0
"CAX49146.1_154",996,0,0,0,0,0,0.0532128514056225,48,4.81927710843374,0,0
"CAX49147.1_155",99,0,0,0,0,0,0.0202020202020202,2,2.02020202020202,0,0
"CAX49148.1_156",3863,0.00129433083096039,4,0.103546466476831,0,0,0.0548796272327207,185,4.78902407455346,5,0.129433083096039
"CAX49149.1_157",1265,0,0,0,0,0,0.0616600790513834,66,5.21739130434783,0,0
"CAX49150.1_158",1733,0.00230813618003462,3,0.173110213502597,0,0,0.0663589151759954,100,5.77034045008655,0,0
"CAX49151.1_159",3107,0.000965561635017702,3,0.0965561635017702,0,0,0.0650144834245253,164,5.27840360476344,3,0.0965561635017702
"CAX49152.1_160",1202,0.000831946755407654,1,0.0831946755407654,0,0,0.0515806988352745,52,4.3261231281198,2,0.166389351081531
"CAX49153.1_161",1032,0,0,0,0,0,0.0387596899224806,35,3.39147286821705,1,0.0968992248062016
"CAX49154.1_162",1742,0.00229621125143513,4,0.229621125143513,0,0,0.0786452353616533,110,6.31458094144661,7,0.401836969001148
"CAX49155.1_163",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAX49156.1_164",2233,0.00403045230631438,5,0.223914017017465,0,0,0.0626959247648903,121,5.41871921182266,5,0.223914017017465
"CAX49157.1_165",6,0,0,0,0,0,0.333333333333333,2,33.3333333333333,0,0
"CAX49158.1_166",12,0,0,0,0,0,0.0833333333333333,1,8.33333333333333,0,0
"CAX49159.1_167",175,0.00571428571428571,1,0.571428571428571,0,0,0.171428571428571,24,13.7142857142857,1,0.571428571428571
"CAX49160.1_168",65,0.0307692307692308,1,1.53846153846154,0,0,0.153846153846154,5,7.69230769230769,1,1.53846153846154
"CAX49161.1_169",4,0,0,0,0,0,0.25,1,25,0,0
"CAX49162.1_170",143,0,0,0,0,0,0.048951048951049,7,4.89510489510489,0,0
