Assembly Accession	Assembly Name	Assembly Level	Organism Name	CheckM completeness	Assembly Stats Total Sequence Length
GCF_000196515.1	ASM19651v1	Complete Genome	'Nostoc azollae' 0708	96.13	5486145
GCF_000022305.1	ASM2230v1	Complete Genome	[Acidovorax] ebreus TPSY	100	3796573
GCF_900323885.1	ASM90032388v1	Contig	[Actinomadura] parvosata subsp. kistnae	89.68	13559781
GCF_900094975.1	IMG-taxon 2617270721 annotated assembly	Scaffold	[Bacillus] enclensis	99.35	4481988
GCF_000093085.1	ASM9308v1	Complete Genome	[Bacillus] selenitireducens MLS10	94.44	3592487
GCF_000687555.1	ASM68755v1	Contig	[Clostridium] aerotolerans DSM 5434	98.06	4732373
GCF_900112885.1	IMG-taxon 2593339256 annotated assembly	Scaffold	[Clostridium] aminophilum	97.41	3113820
GCF_025566905.1	ASM2556690v1	Scaffold	[Clostridium] ammoniilyticum	85.56	2725575
GCF_025149125.1	ASM2514912v1	Complete Genome	[Clostridium] asparagiforme DSM 15981	98.44	6353279
GCF_002797975.1	ASM279797v1	Contig	[Clostridium] celerecrescens 18A	98.06	5272838
GCF_000371485.1	Clos_clos_90B1_V1	Scaffold	[Clostridium] clostridioforme 90B1	97.5	5602152
GCF_940677205.1	DSM6011	Complete Genome	[Clostridium] colinum	88.75	2035557
GCF_900111235.1	IMG-taxon 2675903166 annotated assembly	Contig	[Clostridium] fimetarium	98.75	4568183
GCF_022845755.1	ASM2284575v1	Complete Genome	[Clostridium] hylemonae	99.38	3922038
GCF_000526995.1	ASM52699v1	Contig	[Clostridium] indolis DSM 755	98.06	6383701
GCF_012317185.1	ASM1231718v1	Complete Genome	[Clostridium] innocuum	99.37	4718906
GCF_000421505.1	ASM42150v1	Contig	[Clostridium] methoxybenzovorans SR3	98.06	7085377
GCF_900111595.1	IMG-taxon 2606217760 annotated assembly	Scaffold	[Clostridium] polysaccharolyticum	98.75	3458343
GCF_000144625.1	ASM14462v1	Complete Genome	[Clostridium] saccharolyticum WM1	99.31	4662871
GCF_020892115.1	ASM2089211v1	Complete Genome	[Clostridium] scindens	98.75	3315593
GCF_008632235.1	ASM863223v1	Scaffold	[Clostridium] symbiosum	93.13	5072209
GCF_000511955.1	clostridium ultunense	Scaffold	[Clostridium] ultunense DSM 10521	98.99	3216692
GCF_003710245.1	ASM371024v1	Contig	[Curtobacterium] plantarum	98.58	4981783
GCF_001461805.1	ASM146180v1	Complete Genome	[Enterobacter] lignolyticus	100	4702949
GCF_900604315.1	PRJEB25870	Scaffold	[Erwinia] mediterraneensis	93.6	4275917
GCF_000621585.1	ASM62158v1	Scaffold	[Eubacterium] cellulosolvens LD2006	99.03	3331935
GCF_000146185.1	ASM14618v1	Complete Genome	[Eubacterium] eligens ATCC 27750	77.26	2831389
GCF_014337235.1	ASM1433723v1	Complete Genome	[Eubacterium] hominis		3879051
