GCF 024518835.1|WP 256763800.1
GCF 000428525.1|WP 154813634.1
GCF 000365025.1|WP 017931765.1
GCF 000428525.1|WP 051279812.1
GCF 000758765.1|WP 004826730.1
GCF 001483135.1|WP 149867315.1
GCF 004341915.1|WP 006982513.1
GCF 902375965.1|WP 058991161.1
GCF 002283365.1|WP 218830561.1
GCF 008039615.1|WP 147847049.1
GCF 007992495.1|WP 147154472.1
GCF 002897375.1|WP 201262781.1
GCF 016918765.2|WP 228346831.1
GCF 008698145.1|WP 223849871.1
GCF 000701665.1|WP 031473848.1
GCF 003150675.1|WP 109648015.1
GCF 008244685.1|WP 149103360.1
GCF 019331715.1|WP 274608030.1
GCF 000742835.1|WP 038464966.1
GCF 000374105.1|WP 018624064.1
GCF 000685295.1|WP 084146212.1
GCF 000226315.1|WP 014102951.1
GCF 000412185.1|WP 022698337.1
GCF 900639875.1|WP 131777415.1
GCF 000953135.1|WP 045096676.1
GCF 009688965.1|WP 155305233.1
GCF 947250765.1|WP 264705449.1
GCF 028982105.1|WP 275008997.1
GCF 003664375.1|WP 245969036.1
GCF 015278125.1|WP 348541624.1
GCF 003263785.1|WP 112478401.1
GCF 900640115.1|WP 341272523.1
GCF 004571195.1|WP 115152820.1
GCF 020005365.1|WP 223669216.1
GCF 018972105.1|WP 216692422.1
GCF 023284065.1|WP 248995943.1
GCF 001831495.1|WP 068546694.1
GCF 026891035.1|WP 258331077.1
GCF 018777385.1|WP 252319275.1
GCF 002291445.1|WP 048635600.1
GCF 023650495.1|WP 250656459.1
GCF 004551525.1|WP 134836938.1
GCF 003990915.1|WP 127122657.1
GCF 001267255.1|WP 350325171.1
GCF 005843925.1|WP 138319716.1
GCF 000429145.1|WP 026377305.1
GCF 009258045.1|WP 152298614.1
GCF 000833355.1|WP 003037307.1
GCF 000934745.1|WP 153306739.1
GCF 000024085.1|WP 012800637.1
GCF 006538525.1|WP 141347238.1
GCF 003025455.1|WP 045039923.1
GCF 001886815.1|WP 006927115.1
GCF 018704065.1|WP 289510068.1
GCF 001953175.1|WP 076003804.1
GCF 900460175.1|WP 235659308.1
GCF 016786215.1|WP 203109590.1
GCF 900445285.1|WP 015778199.1
GCF 003402975.1|WP 116879587.1
GCF 003025005.1|WP 107040004.1
GCF 024584745.1|WP 257121531.1
