GENOME,HOMOLOG
GCF_000007745.1_ASM774v1,NO
GCF_000018105.1_ASM1810v1,NO
GCF_000022305.1_ASM2230v1,NO
GCF_000023265.1_ASM2326v1,NO
GCF_000025305.1_ASM2530v1,NO
GCF_000093085.1_ASM9308v1,NO
GCF_000144625.1_ASM14462v1,NO
GCF_000144695.1_ASM14469v1,NO
GCF_000146185.1_ASM14618v1,NO
GCF_000160455.2_ASM16045v2,NO
GCF_000179595.2_ASM17959v2,NO
GCF_000196455.1_ASM19645v1,NO
GCF_000196515.1_ASM19651v1,NO
GCF_000202835.1_ASM20283v1,NO
GCF_000237085.1_ASM23708v1,NO
GCF_000247605.1_ASM24760v1,NO
GCF_000266925.1_ASM26692v1,NO
GCF_000371485.1_Clos_clos_90B1_V1,NO
GCF_000376245.1_ASM37624v1,NO
GCF_000379545.1_ASM37954v1,NO
GCF_000381765.1_ASM38176v1,NO
GCF_000382065.1_ASM38206v1,NO
GCF_000421505.1_ASM42150v1,NO
GCF_000423445.1_ASM42344v1,NO
GCF_000472665.1_ASM47266v1,NO
GCF_000483165.1_ASM48316v1,NO
GCF_000499525.1_Clostridium_dakarense_01,NO
GCF_000511955.1_clostridium_ultunense,YES
GCF_000526235.1_ASM52623v1,NO
GCF_000526995.1_ASM52699v1,NO
GCF_000613285.1_ASM61328v1,NO
GCF_000621585.1_ASM62158v1,NO
GCF_000687555.1_ASM68755v1,NO
GCF_000687735.1_ASM68773v1,NO
GCF_000701585.1_ASM70158v1,YES
GCF_000717245.1_ASM71724v1,NO
GCF_000754095.2_ASM75409v2,NO
GCF_000963925.1_ASM96392v1,NO
GCF_000963965.1_ASM96396v1,NO
GCF_000964225.1_ASM96422v1,NO
GCF_000964365.1_ASM96436v1,NO
GCF_001298955.1_11861_6_29,NO
GCF_001441165.1_ASM144116v1,NO
GCF_001461035.1_ASM146103v1,NO
GCF_001461805.1_ASM146180v1,NO
GCF_001499615.1_Acetobacter_senegalensis_108B,NO
GCF_001559865.1_ASM155986v1,NO
GCF_001570905.1_ASM157090v1,NO
GCF_001570925.1_ASM157092v1,NO
GCF_001580535.1_ASM158053v1,NO
GCF_001580615.1_ASM158061v1,NO
GCF_001580945.1_ASM158094v1,NO
GCF_001647695.1_ASM164769v1,NO
GCF_001692755.1_ASM169275v1,NO
GCF_001705075.2_ASM170507v2,NO
GCF_001753165.1_ASM175316v1,NO
GCF_001753245.1_ASM175324v1,YES
GCF_001904615.1_ASM190461v1,NO
GCF_001931655.1_ASM193165v1,NO
GCF_001975725.1_ASM197572v1,NO
GCF_001989575.1_ASM198957v1,NO
GCF_002082135.1_ASM208213v1,NO
GCF_002153515.1_ASM215351v1,NO
GCF_002173775.1_ASM217377v1,NO
GCF_002220195.1_ASM222019v1,NO
GCF_002278035.1_ASM227803v1,NO
GCF_002356335.1_ASM235633v1,NO
GCF_002738225.1_ASM273822v1,NO
GCF_002797975.1_ASM279797v1,NO
GCF_002844395.1_ASM284439v1,NO
GCF_002871005.1_ASM287100v1,NO
GCF_002973605.1_ASM297360v1,YES
GCF_003151135.1_ASM315113v1,NO
GCF_003231495.1_AcaThom1.0,NO
GCF_003285045.1_ASM328504v1,NO
GCF_003325455.1_ASM332545v1,NO
GCF_003330725.1_ASM333072v1,YES
GCF_003332325.1_ASM333232v1,NO
GCF_003352165.1_ASM335216v1,NO
GCF_003385765.1_ASM338576v1,NO
GCF_003470435.1_ASM347043v1,NO
GCF_003664555.1_ASM366455v1,NO
GCF_003710245.1_ASM371024v1,NO
GCF_003725415.1_YH-panp20,NO
GCF_003966655.1_ASM396665v1,NO
GCF_004014775.2_ASM401477v2,NO
