GCF_000511955.1|WP_035143258.1 [Schnuerera ultunensis]
GCF_000701585.1|WP_245594223.1 protein [Acidiphilium]
GCF_001753245.1|WP_070077191.1 [Acidihalobacter yilgarnensis]
GCF_002973605.1|WP_106380689.1 [Abditibacterium utsteinense]
GCF_003330725.1|WP_201758983.1 [Acidisarcina polymorpha]
GCF_017313105.1|WP_207072019.1 [Muricauda lutisoli]
GCF_020618775.1|WP_227319470.1 [Acidisoma silvae]
GCF_020618775.1|WP_227319781.1 [Acidisoma silvae]
GCF_020621385.1|WP_227305799.1 [Acidisoma cellulosilyticum]
GCF_020621385.1|WP_227309898.1 [Acidisoma cellulosilyticum]
GCF_021556475.1|WP_235705519.1 [Acidiphilium iwatense]
GCF_022807975.1|WP_255844611.1 [Abyssalbus ytuae]
GCF_025685625.1|WP_263350760.1 [Acidicapsa acidisoli]
GCF_029030725.1|WP_275245763.1 [[Pseudomonas] carboxydohydrogena]
GCF_029030725.1|WP_275248225.1 [[Pseudomonas] carboxydohydrogena]
GCF_029193885.1|WP_275614011.1 [[Muricauda] yonaguniensis]
GCF_029193885.1|WP_275614765.1 [[Muricauda] yonaguniensis]
GCF_029194005.1|WP_275647792.1 [[Muricauda] okinawensis]
GCF_900156265.1|WP_245594223.1 protein [Acidiphilium]
GCF_000022565.1|WP_015895967.1 protein [Acidobacterium]
GCF_002174125.1|WP_245809142.1 [Acinetobacter populi]
GCF_901764995.1|WP_180338715.1 [Actinobacillus porcinus]
GCF_000473365.1|WP_026464293.1 [Adhaeribacter aquaticus]
GCF_003023845.1|WP_106932195.1 [Adhaeribacter arboris]
GCF_003023845.1|WP_106933102.1 [Adhaeribacter arboris]
GCF_003340495.1|WP_115373986.1 [Adhaeribacter pallidiroseus]
GCF_003340495.1|WP_115375209.1 [Adhaeribacter pallidiroseus]
GCF_007741515.1|WP_145063104.1 [Adhaeretor mobilis]
GCF_007991635.1|WP_146895016.1 [Adhaeribacter aerolatus]
GCF_008629685.1|WP_150086944.1 [Adhaeribacter rhizoryzae]
GCF_008629685.1|WP_150089603.1 [Adhaeribacter rhizoryzae]
GCF_008727925.1|WP_150903852.1 [Adhaeribacter soli]
GCF_008727925.1|WP_317133067.1 [Adhaeribacter soli]
GCF_016623615.1|WP_200504125.1 [Adhaeribacter terrigena]
GCF_016623615.1|WP_200505541.1 [Adhaeribacter terrigena]
GCF_000160775.2|WP_007076737.1 [Aeromicrobium marinum]
GCF_000218565.1|WP_013913008.1 [Afipia carboxidovorans]
GCF_000218565.1|WP_013913286.1 [Afipia carboxidovorans]
GCF_000265385.1|WP_014782934.1 [Aequorivita sublithincola]
GCF_000314675.2|WP_006019844.1 [Afipia broomeae]
GCF_000314675.2|WP_006021938.1 [Afipia broomeae]
GCF_000314675.2|WP_024918953.1 protein [Afipia]
GCF_000336555.1|WP_002711210.1 [Afipia clevelandensis]
GCF_000336555.1|WP_002712527.1 [Afipia clevelandensis]
GCF_000336555.1|WP_002712976.1 [Afipia clevelandensis]
GCF_000336555.1|WP_002713316.1 [Afipia clevelandensis]
GCF_000429145.1|WP_026377305.1 [Aestuariibacter salexigens]
GCF_000701665.1|WP_031473848.1 [Agathobaculum desmolans]
GCF_000819885.1|WP_042009736.1 [Aeromonas fluvialis]
GCF_001641085.1|WP_068763166.1 [Aequorivita soesokkakensis]
GCF_002915195.1|WP_077120925.1 [Agrobacterium rosae]
GCF_002915195.1|WP_103584239.1 [Agrobacterium rosae]
GCF_003234965.1|WP_111196494.1 [Aestuariivirga litoralis]
GCF_003234965.1|WP_111197403.1 [Aestuariivirga litoralis]
GCF_003234965.1|WP_111199446.1 [Aestuariivirga litoralis]
GCF_003667725.1|WP_121651813.1 [Agrobacterium fabrum]
GCF_003667905.1|WP_035212909.1 [Agrobacterium tumefaciens]
GCF_004310285.1|WP_130978638.1 [Agrobacterium cavarae]
GCF_005144425.2|WP_112359985.1 [Agrobacterium larrymoorei]
GCF_005144425.2|WP_137392785.1 [Agrobacterium larrymoorei]
GCF_005144425.2|WP_137393530.1 [Agrobacterium larrymoorei]
GCF_005144435.2|WP_080853548.1 protein [Agrobacterium]
GCF_005943945.1|WP_138851562.1 [Aggregatimonas sangjinii]
GCF_005943945.1|WP_138853827.1 [Aggregatimonas sangjinii]
GCF_005943945.1|WP_138854570.1 [Aggregatimonas sangjinii]
GCF_005943945.1|WP_236262813.1 [Aggregatimonas sangjinii]
GCF_007748035.1|WP_145245211.1 [Aeoliella mucimassa]
GCF_009192765.1|WP_152267587.1 [Agriterribacter humi]
GCF_009192765.1|WP_152270305.1 [Agriterribacter humi]
GCF_014203115.1|WP_184082742.1 [Afipia massiliensis]
GCF_014596935.1|WP_188214892.1 [Aestuariibaculum suncheonense]
GCF_014596935.1|WP_188217449.1 [Aestuariibaculum suncheonense]
GCF_014596935.1|WP_188217486.1 [Aestuariibaculum suncheonense]
GCF_014596975.1|WP_188223190.1 [Aestuariibaculum marinum]
GCF_014596975.1|WP_241739524.1 [Aestuariibaculum marinum]
GCF_014648575.1|WP_189086224.1 [Agromyces mediolanus]
GCF_016757735.1|WP_202336642.1 protein [Aequorivita]
GCF_017313405.1|WP_207133734.1 [Agrobacterium burrii]
GCF_017313405.1|WP_207134034.1 [Agrobacterium burrii]
GCF_017313405.1|WP_207135987.1 [Agrobacterium burrii]
GCF_018476645.1|WP_214113326.1 [Aequorivita echinoideorum]
GCF_021228295.1|WP_232498274.1 [Agromyces humatus]
GCF_021310995.1|WP_233121410.1 [Agrobacterium vaccinii]
GCF_021310995.1|WP_233123481.1 [Agrobacterium vaccinii]
GCF_022008365.1|WP_237603491.1 [Aequorivita vitellina]
GCF_022008365.1|WP_237604219.1 [Aequorivita vitellina]
GCF_022662015.1|WP_242091863.1 [Aestuariivivens sediminicola]
GCF_022662015.1|WP_242094588.1 [Aestuariivivens sediminicola]
GCF_022662135.1|WP_242133198.1 [Aestuariivivens marinum]
GCF_022662135.1|WP_242135377.1 [Aestuariivivens marinum]
GCF_022662195.1|WP_242202484.1 [Aestuariivivens insulae]
GCF_022662195.1|WP_242204729.1 [Aestuariivivens insulae]
GCF_022662195.1|WP_242204976.1 [Aestuariivivens insulae]
GCF_022662195.1|WP_242206330.1 [Aestuariivivens insulae]
GCF_022811705.1|WP_243556384.1 [Agromyces larvae]
GCF_025136295.1|WP_259780618.1 [Aestuariispira ectoiniformans]
GCF_025136295.1|WP_259782416.1 [Aestuariispira ectoiniformans]
GCF_025136295.1|WP_311195699.1 [Aestuariispira ectoiniformans]
GCF_027922085.1|WP_155842094.1 [Agromyces luteolus]
GCF_028561335.1|WP_272856069.1 [Aequorivita todarodis]
GCF_028561335.1|WP_272856746.1 [Aequorivita todarodis]
GCF_030036535.1|WP_110756268.1 protein [Rhizobium/Agrobacterium
GCF_900013505.1|WP_080857900.1 protein [Agrobacterium]
GCF_900106795.1|WP_073218408.1 [Aequorivita viscosa]
GCF_900106795.1|WP_073221699.1 [Aequorivita viscosa]
GCF_900106795.1|WP_262481116.1 [Aequorivita viscosa]
GCF_900489835.1|WP_111844988.1 [Aequorivita antarctica]
GCF_000166275.1|WP_008199643.1 [Algoriphagus machipongonensis]
GCF_000374465.1|WP_018688111.1 [Ahrensia kielensis]
GCF_000429405.1|WP_026945051.1 protein [Algoriphagus]
GCF_001293565.1|WP_053998538.1 [Ahrensia marina]
GCF_001293565.1|WP_053998889.1 [Ahrensia marina]
